                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71372,                 3.7676,                  1.225,                0.00293,                    0.5,                0.33083,                0.29757,                 0.2449,                 3.4688,                0.85743,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                0.68348,                 3.4931,                 1.0971,                0.00264,                    0.5,                   0.36,                0.30401,                0.23768,                 3.4705,                0.83414,             5.4328e-05,             5.4328e-05,             5.4328e-05
                      3,                0.61942,                 3.4593,                 1.1124,                0.30252,                    0.8,                0.74358,                0.74358,                0.14529,                 3.4487,                0.76376,             8.4969e-05,             8.4969e-05,             8.4969e-05
                      4,                0.70875,                 3.2972,                 1.3316,                0.28013,                      1,                0.81448,                 0.8023,                0.15009,                 3.4348,                0.74237,             0.00011414,             0.00011414,             0.00011414
                      5,                0.67101,                 3.2954,                 1.1602,                0.28017,                      1,                0.78556,                 0.7736,                  0.158,                 3.4209,                0.74634,             0.00014185,             0.00014185,             0.00014185
                      6,                0.51388,                 3.0211,                0.99937,                0.22987,                      1,                 0.8325,                0.82336,                0.16185,                 3.4111,                0.74404,             0.00016809,             0.00016809,             0.00016809
                      7,                0.41702,                 3.0637,                 1.0258,                0.22978,                      1,                 0.9325,                0.92627,                0.20165,                 3.3779,                0.74738,             0.00019287,             0.00019287,             0.00019287
                      8,                0.53373,                 3.1987,                 1.0376,                0.22969,                      1,                0.90125,                0.89502,                0.19825,                 3.3718,                0.74709,             0.00021618,             0.00021618,             0.00021618
                      9,                0.57053,                 2.7784,                 1.0625,                0.25253,                      1,                   0.87,                0.85003,                0.20013,                 3.3402,                0.74595,             0.00023802,             0.00023802,             0.00023802
                     10,                0.71046,                   2.98,                 1.2404,                0.25281,                      1,                   0.87,                0.85805,                0.20836,                 3.3072,                 0.7471,              0.0002584,              0.0002584,              0.0002584
                     11,                0.49659,                 2.8607,                0.98879,                0.14183,                      1,                  0.945,                  0.945,                0.20057,                 3.2135,                0.74562,             0.00027731,             0.00027731,             0.00027731
                     12,                 0.5912,                 2.4061,                 1.0141,                0.10679,                      1,                   0.97,                0.95503,                0.21127,                 3.1621,                0.75213,             0.00029475,             0.00029475,             0.00029475
                     13,                0.86796,                 2.4572,                 1.5203,                0.05967,                      1,                  0.995,                0.98253,                0.24548,                 3.0295,                 0.7647,             0.00031072,             0.00031072,             0.00031072
                     14,                 0.4216,                  2.429,                 1.0258,                 0.0553,                      1,                  0.995,                  0.995,                0.23973,                  2.938,                 0.7627,             0.00032523,             0.00032523,             0.00032523
                     15,                0.63229,                 2.2417,                 1.0633,                0.94577,                    0.5,                  0.995,                  0.995,                0.26165,                 2.8134,                0.77959,             0.00033828,             0.00033828,             0.00033828
                     16,                0.61915,                 1.9607,                 1.0418,                0.76899,                      1,                  0.995,                0.96707,                0.28535,                 2.8428,                0.78591,             0.00034985,             0.00034985,             0.00034985
                     17,                0.47632,                  2.154,                 1.0136,                0.77387,                      1,                  0.995,                0.94631,                0.30344,                 2.8127,                0.78733,             0.00035996,             0.00035996,             0.00035996
                     18,                0.54544,                 1.8137,                 1.0576,                 0.9702,                    0.5,                  0.995,                0.97762,                0.26184,                 2.6983,                0.76228,             0.00036861,             0.00036861,             0.00036861
                     19,                 0.6895,                  1.873,                  1.219,                0.98144,                0.62729,                  0.995,                0.97323,                0.24847,                 2.5989,                 0.7664,             0.00037578,             0.00037578,             0.00037578
                     20,                0.57279,                 1.9565,                 1.1547,                0.94849,                 0.6938,                  0.995,                0.96588,                0.26121,                 2.4704,                0.77393,              0.0003815,              0.0003815,              0.0003815
                     21,                0.54581,                 1.5346,                 1.0028,                0.93534,                0.86337,                  0.995,                0.94822,                0.29196,                 2.3024,                0.78608,             0.00038574,             0.00038574,             0.00038574
                     22,                0.54955,                 1.6283,                 1.0369,                 0.9341,                0.93043,                  0.995,                0.94779,                0.34761,                 2.1528,                0.80719,             0.00038852,             0.00038852,             0.00038852
                     23,                0.56237,                 1.5785,                 1.0463,                0.94446,                0.93465,                  0.995,                0.96158,                0.29983,                 2.1629,                0.79213,             0.00038983,             0.00038983,             0.00038983
                     24,                0.52482,                 1.4062,                 1.0196,                0.96917,                0.89227,                  0.995,                  0.995,                 0.2406,                 2.2328,                0.76254,             0.00038967,             0.00038967,             0.00038967
                     25,                0.47885,                 1.7112,                 1.0257,                0.97627,                0.99238,                  0.995,                0.95536,                0.28159,                  2.246,                0.76729,             0.00038805,             0.00038805,             0.00038805
                     26,                0.50592,                 1.5301,                0.97137,                0.95183,                      1,                  0.995,                0.97714,                0.26856,                 2.1478,                0.76066,             0.00038496,             0.00038496,             0.00038496
                     27,                0.46031,                 1.4371,                0.94085,                0.89527,                      1,                  0.995,                0.95842,                0.28351,                 1.9163,                0.77277,             0.00038041,             0.00038041,             0.00038041
                     28,                0.43079,                 1.5549,                 1.0516,                0.91285,                      1,                  0.995,                0.94766,                0.30522,                  1.608,                0.78686,             0.00037438,             0.00037438,             0.00037438
                     29,                 1.1158,                 1.6951,                 2.1364,                0.91285,                      1,                  0.995,                0.94766,                0.30522,                  1.608,                0.78686,              0.0003669,              0.0003669,              0.0003669
                     30,                0.49389,                  1.376,                 1.0352,                0.90731,                0.97886,                  0.995,                0.93776,                0.31907,                 1.4672,                0.79572,             0.00035794,             0.00035794,             0.00035794
                     31,                0.47077,                 1.3393,                0.97192,                0.83029,                0.98419,                  0.995,                0.96332,                0.28864,                 1.4426,                 0.7836,             0.00034752,             0.00034752,             0.00034752
                     32,                0.61834,                 1.2137,                 1.0469,                0.85452,                0.97483,                  0.995,                0.98518,                0.26426,                 1.3514,                 0.7779,             0.00033563,             0.00033563,             0.00033563
                     33,                0.36285,                 1.2337,                0.91018,                0.85452,                0.97483,                  0.995,                0.98518,                0.26426,                 1.3514,                 0.7779,             0.00032228,             0.00032228,             0.00032228
                     34,                0.40496,                 1.2775,                0.99487,                0.92128,                      1,                  0.995,                0.98522,                0.26033,                 1.2161,                0.77417,             0.00030441,             0.00030441,             0.00030441
                     35,                0.35757,                 1.1995,                0.88105,                0.94971,                      1,                  0.995,                  0.995,                0.24073,                 1.0882,                0.76159,             0.00027997,             0.00027997,             0.00027997
                     36,                0.40521,                 1.6369,                0.84541,                0.95405,                      1,                  0.995,                  0.995,                0.19525,                 1.1261,                0.74635,             0.00025553,             0.00025553,             0.00025553
                     37,                0.31028,                  1.401,                0.76255,                0.95405,                      1,                  0.995,                  0.995,                0.19525,                 1.1261,                0.74635,             0.00023109,             0.00023109,             0.00023109
                     38,                0.18291,                  1.281,                0.84439,                0.96459,                0.99893,                  0.995,                  0.995,                0.17263,                 1.2001,                0.73971,             0.00020665,             0.00020665,             0.00020665
                     39,                0.20068,                 1.3342,                0.80561,                0.97527,                0.99458,                  0.995,                  0.995,                0.16944,                 1.2842,                0.74265,              0.0001822,              0.0001822,              0.0001822
                     40,                0.44264,                  1.772,                0.70428,                0.98905,                      1,                  0.995,                  0.995,                0.17299,                 1.2976,                0.74347,             0.00015776,             0.00015776,             0.00015776
                     41,                0.25418,                 1.5175,                0.80197,                0.98905,                      1,                  0.995,                  0.995,                0.17299,                 1.2976,                0.74347,             0.00013332,             0.00013332,             0.00013332
                     42,                0.16177,                 1.3271,                0.78068,                0.98347,                      1,                  0.995,                  0.995,                0.16783,                 1.2346,                0.74045,             0.00010888,             0.00010888,             0.00010888
                     43,                0.21286,                  1.338,                0.84995,                 0.9828,                      1,                  0.995,                  0.995,                0.16151,                 1.1278,                0.73552,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     44,                0.17779,                 1.4497,                0.79041,                0.98988,                      1,                  0.995,                  0.995,                0.15564,                 1.0017,                0.73368,             5.9994e-05,             5.9994e-05,             5.9994e-05
                     45,                0.19245,                  1.406,                0.82418,                0.98988,                      1,                  0.995,                  0.995,                0.15564,                 1.0017,                0.73368,             3.5552e-05,             3.5552e-05,             3.5552e-05
